FilePath,ReviewPath,FileKind,ReviewLines,KeywordHits,InitialRelevance,ReviewTier,Notes
"knowledge_base/Secure-Element-Reader/SecureElementReader.entitlements","knowledge_base/Secure-Element-Reader/SecureElementReader.entitlements",source,27,0,no,metadata,""
"knowledge_base/Secure-Element-Reader/SecureElementReader.sln","knowledge_base/Secure-Element-Reader/SecureElementReader.sln",source,39,1,no,metadata,""
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/App.axaml","knowledge_base/Secure-Element-Reader/src/SecureElementReader/App.axaml",source,27,0,no,metadata,""
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/App.axaml.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/App.axaml.cs",source,44,1,yes,candidate,""
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/AppSettingsManager.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/AppSettingsManager.cs",source,35,1,yes,candidate,""
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Assets/france.png","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Assets/france.png",source,2,0,no,metadata,""
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Assets/serbia.png","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Assets/serbia.png",source,4,0,no,metadata,""
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Assets/sr-Cyrl-BA.png","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Assets/sr-Cyrl-BA.png",source,2,0,no,metadata,""
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Assets/taxcore.ico","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Assets/taxcore.ico",source,61,0,no,metadata,""
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Assets/taxcore.png","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Assets/taxcore.png",source,57,1,yes,candidate,""
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Assets/uk.png","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Assets/uk.png",source,9,0,no,metadata,""
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/DependencyInjection/Bootstrapper.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/DependencyInjection/Bootstrapper.cs",source,12,1,yes,candidate,""
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/DependencyInjection/ReadonlyDependencyResolverExtensions.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/DependencyInjection/ReadonlyDependencyResolverExtensions.cs",source,30,1,yes,candidate,""
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/DependencyInjection/ServicesBootstrapper.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/DependencyInjection/ServicesBootstrapper.cs",source,163,6,yes,candidate,""
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Enpoints/EndpointUrls.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Enpoints/EndpointUrls.cs",source,9,3,yes,candidate,""
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Enums/ApduClasses.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Enums/ApduClasses.cs",source,15,2,yes,candidate,""
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Enums/ApduInstructions.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Enums/ApduInstructions.cs",source,13,5,yes,candidate,""
"knowledge_base/Secure-Element-Reader/src/SecureElementReader/Enums/ApduP1.cs","knowledge_base/Secure-Element-Reader/src/SecureElementReader/Enums/ApduP1.cs",source,17,2,yes,candidate,""
